player_name,venue,matches_x,runs,balls_x,fours,sixes,dismissals,strike_rate,avg,matches_y,balls_y,runs_conceded,wickets,economy,bowling_avg,city,country
AD Hales,Adelaide Oval,1.0,8.0,5.0,1.0,0.0,5.0,160.0,1.6,,,,,0.0,0.0,Adelaide,
AD Hales,Feroz Shah Kotla,1.0,7.0,4.0,1.0,0.0,4.0,175.0,1.75,,,,,0.0,0.0,Delhi,
AD Hales,"Gaddafi Stadium, Lahore",3.0,10.0,16.0,0.0,0.0,16.0,62.5,0.62,,,,,0.0,0.0,Lahore,
AD Hales,Melbourne Cricket Ground,1.0,1.0,2.0,0.0,0.0,2.0,50.0,0.5,,,,,0.0,0.0,,
AD Hales,"National Stadium, Karachi",3.0,59.0,48.0,8.0,1.0,48.0,122.92,1.23,,,,,0.0,0.0,Karachi,
AD Hales,Old Trafford,2.0,2.0,5.0,0.0,0.0,5.0,40.0,0.4,,,,,0.0,0.0,Manchester,
AD Hales,Sophia Gardens,1.0,11.0,10.0,0.0,1.0,10.0,110.0,1.1,,,,,0.0,0.0,Cardiff,
AD Mathews,Barabati Stadium,1.0,1.0,1.0,0.0,0.0,1.0,100.0,1.0,1.0,10.0,16.0,10.0,9.6,1.6,Cuttack,
AD Mathews,Eden Park,1.0,4.0,4.0,0.0,0.0,4.0,100.0,1.0,,,,,0.0,0.0,Auckland,
AD Mathews,"Grand Prairie Stadium, Dallas",1.0,16.0,20.0,1.0,0.0,20.0,80.0,0.8,,,,,0.0,0.0,Dallas,
AD Mathews,Holkar Cricket Stadium,,0.0,,0.0,0.0,0.0,,,1.0,6.0,3.0,6.0,3.0,0.5,Indore,
AD Mathews,Maharashtra Cricket Association Stadium,1.0,22.0,9.0,0.0,3.0,9.0,244.44,2.44,1.0,3.0,9.0,3.0,18.0,3.0,Pune,
AD Mathews,"R Premadasa Stadium, Colombo",2.0,16.0,24.0,1.0,0.0,24.0,66.67,0.67,,,,,0.0,0.0,Colombo,
AD Mathews,"R.Premadasa Stadium, Khettarama",,0.0,,0.0,0.0,0.0,,,1.0,3.0,6.0,3.0,12.0,2.0,Colombo,
AD Mathews,Shere Bangla National Stadium,1.0,5.0,7.0,0.0,0.0,7.0,71.43,0.71,1.0,1.0,0.0,1.0,0.0,0.0,Mirpur,
AD Mathews,Sylhet International Cricket Stadium,2.0,42.0,31.0,4.0,1.0,31.0,135.48,1.35,3.0,30.0,29.0,30.0,5.8,0.97,,
AD Poynter,Himachal Pradesh Cricket Association Stadium,1.0,3.0,4.0,0.0,0.0,4.0,75.0,0.75,,,,,0.0,0.0,Dharamsala,
AD Russell,"Brian Lara Stadium, Tarouba, Trinidad",2.0,21.0,9.0,1.0,2.0,9.0,233.33,2.33,1.0,1.0,0.0,1.0,0.0,0.0,Tarouba,
AD Russell,Central Broward Regional Park Stadium Turf Ground,2.0,21.0,14.0,2.0,2.0,14.0,150.0,1.5,3.0,22.0,42.0,22.0,11.45,1.91,Lauderhill,
AD Russell,"Kensington Oval, Bridgetown, Barbados",2.0,3.0,3.0,0.0,0.0,3.0,100.0,1.0,2.0,17.0,21.0,17.0,7.41,1.24,Bridgetown,
AD Russell,"National Cricket Stadium, St George's, Grenada",,0.0,,0.0,0.0,0.0,,,1.0,2.0,10.0,2.0,30.0,5.0,St George's,
AD Russell,"Providence Stadium, Guyana",,0.0,,0.0,0.0,0.0,,,1.0,5.0,4.0,5.0,4.8,0.8,Providence,
AD Russell,"Sabina Park, Kingston",1.0,6.0,9.0,1.0,0.0,9.0,66.67,0.67,,,,,0.0,0.0,Jamaica,
AD Russell,Sharjah Cricket Stadium,,0.0,,0.0,0.0,0.0,,,1.0,14.0,19.0,14.0,8.14,1.36,Sharjah,
AD Russell,"Warner Park, Basseterre",1.0,18.0,6.0,3.0,1.0,6.0,300.0,3.0,1.0,7.0,4.0,7.0,3.43,0.57,St Kitts,
ADS Fletcher,"Arnos Vale Ground, Kingstown, St Vincent",2.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,,,,,0.0,0.0,Kingstown,
ADS Fletcher,Central Broward Regional Park Stadium Turf Ground,1.0,5.0,3.0,0.0,0.0,3.0,166.67,1.67,,,,,0.0,0.0,Lauderhill,
ADS Fletcher,Dubai International Cricket Stadium,1.0,7.0,3.0,0.0,1.0,3.0,233.33,2.33,,,,,0.0,0.0,,
ADS Fletcher,Eden Park,1.0,5.0,6.0,0.0,0.0,6.0,83.33,0.83,,,,,0.0,0.0,Auckland,
ADS Fletcher,National Stadium,1.0,42.0,30.0,3.0,3.0,30.0,140.0,1.4,,,,,0.0,0.0,Karachi,
ADS Fletcher,Providence Stadium,1.0,1.0,3.0,0.0,0.0,3.0,33.33,0.33,,,,,0.0,0.0,Guyana,
ADS Fletcher,"Providence Stadium, Guyana",1.0,4.0,6.0,1.0,0.0,6.0,66.67,0.67,,,,,0.0,0.0,Providence,
ADS Fletcher,"Sabina Park, Kingston",1.0,3.0,4.0,0.0,0.0,4.0,75.0,0.75,,,,,0.0,0.0,Jamaica,
ADS Fletcher,"Warner Park, Basseterre",1.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,,,,,0.0,0.0,St Kitts,
ADS Fletcher,Westpac Stadium,1.0,5.0,6.0,0.0,0.0,6.0,83.33,0.83,,,,,0.0,0.0,Wellington,
AE Paraam,Indian Association Ground,1.0,4.0,4.0,0.0,0.0,4.0,100.0,1.0,,,,,0.0,0.0,Singapore,
AE Paraam,"Tribhuvan University International Cricket Ground, Kirtipur",1.0,26.0,23.0,4.0,0.0,23.0,113.04,1.13,1.0,14.0,35.0,14.0,15.0,2.5,Kirtipur,
AF Buurman,Dubai International Cricket Stadium,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,,
AF Ifill,"Jimmy Powell Oval, Cayman Islands",,0.0,,0.0,0.0,0.0,,,1.0,14.0,19.0,14.0,8.14,1.36,George Town,
AF Ifill,National Stadium,1.0,2.0,6.0,0.0,0.0,6.0,33.33,0.33,1.0,3.0,2.0,3.0,4.0,0.67,Karachi,
AF Ifill,"National Stadium, Hamilton",,0.0,,0.0,0.0,0.0,,,1.0,9.0,11.0,9.0,7.33,1.22,Hamilton,
AF Ifill,"White Hill Field, Sandys Parish",4.0,4.0,12.0,0.0,0.0,12.0,33.33,0.33,1.0,8.0,21.0,8.0,15.75,2.62,Hamilton,
AF Milne,AMI Stadium,1.0,3.0,7.0,0.0,0.0,7.0,42.86,0.43,1.0,26.0,49.0,26.0,11.31,1.88,Christchurch,
AF Milne,"Bay Oval, Mount Maunganui",1.0,6.0,6.0,0.0,1.0,6.0,100.0,1.0,2.0,51.0,58.0,51.0,6.82,1.14,Mount Maunganui,
AF Milne,Dubai International Cricket Stadium,1.0,2.0,3.0,0.0,0.0,3.0,66.67,0.67,5.0,114.0,142.0,114.0,7.47,1.25,,
AF Milne,"Eden Gardens, Kolkata",1.0,7.0,6.0,0.0,1.0,6.0,116.67,1.17,1.0,25.0,47.0,25.0,11.28,1.88,Kolkata,
AF Milne,Eden Park,1.0,2.0,2.0,0.0,0.0,2.0,100.0,1.0,5.0,108.0,161.0,108.0,8.94,1.49,Auckland,
AF Milne,"Eden Park, Auckland",3.0,13.0,18.0,0.0,1.0,18.0,72.22,0.72,4.0,93.0,165.0,93.0,10.65,1.77,Auckland,
AF Milne,Feroz Shah Kotla,,0.0,,0.0,0.0,0.0,,,1.0,18.0,27.0,18.0,9.0,1.5,Delhi,
AF Milne,"Gaddafi Stadium, Lahore",1.0,3.0,5.0,0.0,0.0,5.0,60.0,0.6,2.0,52.0,89.0,52.0,10.27,1.71,Lahore,
AF Milne,"Hagley Oval, Christchurch",,0.0,,0.0,0.0,0.0,,,3.0,65.0,86.0,65.0,7.94,1.32,Christchurch,
AF Milne,Harare Sports Club,,0.0,,0.0,0.0,0.0,,,4.0,96.0,89.0,96.0,5.56,0.93,,
AF Milne,Himachal Pradesh Cricket Association Stadium,1.0,2.0,2.0,0.0,0.0,2.0,100.0,1.0,1.0,14.0,23.0,14.0,9.86,1.64,Dharamsala,
AF Milne,"JSCA International Stadium Complex, Ranchi",1.0,5.0,4.0,0.0,0.0,4.0,125.0,1.25,1.0,19.0,39.0,19.0,12.32,2.05,Ranchi,
AF Milne,"John Davies Oval, Queenstown",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,26.0,31.0,26.0,7.15,1.19,Queenstown,
AF Milne,Kingsmead,1.0,2.0,2.0,0.0,0.0,2.0,100.0,1.0,1.0,24.0,24.0,24.0,6.0,1.0,Durban,
AF Milne,"MA Chidambaram Stadium, Chepauk",,0.0,,0.0,0.0,0.0,,,1.0,18.0,36.0,18.0,12.0,2.0,Chennai,
AF Milne,McLean Park,,0.0,,0.0,0.0,0.0,,,1.0,20.0,34.0,20.0,10.2,1.7,Napier,
AF Milne,"McLean Park, Napier",2.0,16.0,13.0,0.0,2.0,13.0,123.08,1.23,2.0,35.0,62.0,35.0,10.63,1.77,Napier,
AF Milne,"Old Trafford, Manchester",1.0,2.0,3.0,0.0,0.0,3.0,66.67,0.67,1.0,24.0,23.0,24.0,5.75,0.96,Manchester,
AF Milne,Pallekele International Cricket Stadium,,0.0,,0.0,0.0,0.0,,,1.0,6.0,12.0,6.0,12.0,2.0,Kandy,
AF Milne,"Punjab Cricket Association IS Bindra Stadium, Mohali",,0.0,,0.0,0.0,0.0,,,1.0,24.0,26.0,24.0,6.5,1.08,Chandigarh,
AF Milne,Rawalpindi Cricket Stadium,,0.0,,0.0,0.0,0.0,,,1.0,24.0,31.0,24.0,7.75,1.29,,
AF Milne,"Riverside Ground, Chester-le-Street",1.0,10.0,9.0,0.0,1.0,9.0,111.11,1.11,1.0,21.0,30.0,21.0,8.57,1.43,Chester-le-Street,
AF Milne,Saurashtra Cricket Association Stadium,,0.0,,0.0,0.0,0.0,,,1.0,25.0,30.0,25.0,7.2,1.2,Rajkot,
AF Milne,Seddon Park,,0.0,,0.0,0.0,0.0,,,1.0,25.0,37.0,25.0,8.88,1.48,Hamilton,
AF Milne,"Seddon Park, Hamilton",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,25.0,33.0,25.0,7.92,1.32,Hamilton,
AF Milne,Sharjah Cricket Stadium,,0.0,,0.0,0.0,0.0,,,1.0,24.0,27.0,24.0,6.75,1.12,Sharjah,
AF Milne,Sheikh Zayed Stadium,,0.0,,0.0,0.0,0.0,,,1.0,25.0,29.0,25.0,6.96,1.16,Abu Dhabi,
AF Milne,"Sky Stadium, Wellington",,0.0,,0.0,0.0,0.0,,,1.0,24.0,54.0,24.0,13.5,2.25,Wellington,
AF Milne,SuperSport Park,1.0,10.0,7.0,1.0,0.0,7.0,142.86,1.43,1.0,26.0,27.0,26.0,6.23,1.04,Centurion,
AF Milne,"University Oval, Dunedin",,0.0,,0.0,0.0,0.0,,,1.0,26.0,27.0,26.0,6.23,1.04,Dunedin,
AF Milne,"Vidarbha Cricket Association Stadium, Jamtha",,0.0,,0.0,0.0,0.0,,,1.0,14.0,8.0,14.0,3.43,0.57,Nagpur,
AF Milne,Westpac Stadium,,0.0,,0.0,0.0,0.0,,,2.0,43.0,32.0,43.0,4.47,0.74,Wellington,
AF Milne,"Zayed Cricket Stadium, Abu Dhabi",,0.0,,0.0,0.0,0.0,,,1.0,25.0,32.0,25.0,7.68,1.28,Abu Dhabi,
AG Cremer,Harare Sports Club,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,24.0,25.0,24.0,6.25,1.04,,
AG Cremer,Sheikh Abu Naser Stadium,1.0,2.0,5.0,0.0,0.0,5.0,40.0,0.4,3.0,25.0,17.0,25.0,4.08,0.68,Khulna,
AG Cremer,Shere Bangla National Stadium,,0.0,,0.0,0.0,0.0,,,1.0,5.0,8.0,5.0,9.6,1.6,Mirpur,
AGS Gous,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2.0,12.0,10.0,0.0,1.0,10.0,120.0,1.2,,,,,0.0,0.0,Al Amarat,
AGS Gous,"Grand Prairie Stadium, Dallas",5.0,87.0,73.0,9.0,3.0,73.0,119.18,1.19,,,,,0.0,0.0,Dallas,
AGS Gous,"Nassau County International Cricket Stadium, New York",1.0,2.0,6.0,0.0,0.0,6.0,33.33,0.33,,,,,0.0,0.0,New York,
AGS Gous,Prairie View Cricket Complex,5.0,53.0,43.0,9.0,0.0,43.0,123.26,1.23,,,,,0.0,0.0,Houston,
AGS Gous,"Sportpark Westvliet, The Hague",1.0,10.0,9.0,1.0,0.0,9.0,111.11,1.11,,,,,0.0,0.0,The Hague,
AJ Finch,"Brisbane Cricket Ground, Woolloongabba",1.0,2.0,6.0,0.0,0.0,6.0,33.33,0.33,,,,,0.0,0.0,Brisbane,
AJ Finch,"Brisbane Cricket Ground, Woolloongabba, Brisbane",1.0,12.0,10.0,0.0,1.0,10.0,120.0,1.2,,,,,0.0,0.0,Brisbane,
AJ Finch,Dubai International Cricket Stadium,4.0,43.0,30.0,2.0,4.0,30.0,143.33,1.43,,,,,0.0,0.0,,
AJ Finch,"Gaddafi Stadium, Lahore",1.0,33.0,26.0,5.0,0.0,26.0,126.92,1.27,,,,,0.0,0.0,Lahore,
AJ Finch,Harare Sports Club,3.0,96.0,52.0,7.0,7.0,52.0,184.62,1.85,,,,,0.0,0.0,,
AJ Finch,JSCA International Stadium Complex,1.0,4.0,6.0,0.0,0.0,6.0,66.67,0.67,,,,,0.0,0.0,Ranchi,
AJ Finch,Manuka Oval,1.0,8.0,10.0,1.0,0.0,10.0,80.0,0.8,,,,,0.0,0.0,Canberra,
AJ Finch,Perth Stadium,1.0,20.0,15.0,0.0,2.0,15.0,133.33,1.33,,,,,0.0,0.0,Perth,
AJ Finch,Shere Bangla National Stadium,1.0,13.0,11.0,2.0,0.0,11.0,118.18,1.18,,,,,0.0,0.0,Mirpur,
AJ Finch,Sydney Cricket Ground,2.0,1.0,6.0,0.0,0.0,6.0,16.67,0.17,,,,,0.0,0.0,,
AJ Hosein,"Arnos Vale Ground, Kingstown, St Vincent",2.0,31.0,34.0,0.0,2.0,34.0,91.18,0.91,2.0,38.0,17.0,38.0,2.68,0.45,Kingstown,
AJ Hosein,"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",1.0,1.0,1.0,0.0,0.0,1.0,100.0,1.0,3.0,73.0,72.0,73.0,5.92,0.99,Chattogram,
AJ Hosein,"Bready Cricket Club, Magheramason, Bready",,0.0,,0.0,0.0,0.0,,,1.0,5.0,10.0,5.0,12.0,2.0,Bready,
AJ Hosein,"Brian Lara Stadium, Tarouba, Trinidad",2.0,10.0,10.0,0.0,1.0,10.0,100.0,1.0,1.0,11.0,5.0,11.0,2.73,0.45,Tarouba,
AJ Hosein,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2.0,6.0,8.0,1.0,0.0,8.0,75.0,0.75,5.0,84.0,93.0,84.0,6.64,1.11,Lauderhill,
AJ Hosein,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",,0.0,,0.0,0.0,0.0,,,1.0,3.0,1.0,3.0,2.0,0.33,Gros Islet,
AJ Hosein,"Eden Gardens, Kolkata",1.0,1.0,7.0,0.0,0.0,7.0,14.29,0.14,2.0,18.0,25.0,18.0,8.33,1.39,Kolkata,
AJ Hosein,"National Stadium, Karachi",,0.0,,0.0,0.0,0.0,,,2.0,32.0,28.0,32.0,5.25,0.88,Karachi,
AJ Hosein,"Providence Stadium, Guyana",2.0,17.0,11.0,2.0,0.0,11.0,154.55,1.55,5.0,66.0,80.0,66.0,7.27,1.21,Providence,
AJ Hosein,Sharjah Cricket Stadium,1.0,12.0,6.0,1.0,1.0,6.0,200.0,2.0,4.0,46.0,48.0,46.0,6.26,1.04,Sharjah,
AJ Hosein,"Windsor Park, Roseau, Dominica",,0.0,,0.0,0.0,0.0,,,2.0,14.0,17.0,14.0,7.29,1.21,Roseau,
AJ Mosca,"Simar Cricket Ground, Rome",1.0,9.0,7.0,0.0,1.0,7.0,128.57,1.29,,,,,0.0,0.0,Rome,
AJ Staal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2.0,24.0,21.0,2.0,1.0,21.0,114.29,1.14,,,,,0.0,0.0,Al Amarat,
AJ Staal,"The Village, Malahide",1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,,0.0,0.0,Dublin,
AJ Staal,"Tribhuvan University International Cricket Ground, Kirtipur",3.0,5.0,4.0,1.0,0.0,4.0,125.0,1.25,,,,,0.0,0.0,Kirtipur,
AJ Turner,Manuka Oval,1.0,4.0,9.0,0.0,0.0,9.0,44.44,0.44,,,,,0.0,0.0,Canberra,
AJ Turner,"Shere Bangla National Stadium, Mirpur",4.0,19.0,31.0,1.0,0.0,31.0,61.29,0.61,3.0,40.0,34.0,40.0,5.1,0.85,Dhaka,
AJ Tye,Barsapara Cricket Stadium,,0.0,,0.0,0.0,0.0,,,1.0,8.0,7.0,8.0,5.25,0.88,Guwahati,
AJ Tye,"Brisbane Cricket Ground, Woolloongabba",,0.0,,0.0,0.0,0.0,,,1.0,2.0,2.0,2.0,6.0,1.0,Brisbane,
AJ Tye,Dubai International Cricket Stadium,2.0,6.0,7.0,0.0,0.0,7.0,85.71,0.86,2.0,18.0,29.0,18.0,9.67,1.61,,
AJ Tye,Harare Sports Club,1.0,11.0,7.0,0.0,1.0,7.0,157.14,1.57,3.0,34.0,60.0,34.0,10.59,1.76,,
AJ Tye,Sheikh Zayed Stadium,1.0,6.0,3.0,1.0,0.0,3.0,200.0,2.0,1.0,20.0,22.0,20.0,6.6,1.1,Abu Dhabi,
AJ Tye,"Shere Bangla National Stadium, Mirpur",3.0,7.0,13.0,0.0,0.0,13.0,53.85,0.54,3.0,44.0,55.0,44.0,7.5,1.25,Dhaka,
