id,player_full_name,team,role,matches_played,innings_batted,runs,balls_faced,batting_average,strike_rate,fifties,hundreds,fours,sixes,highest_score,wickets,balls_bowled,runs_conceded,bowling_average,economy,five_wicket_hauls,catches,stumpings,run_outs,dismissal_breakdown
243,Nuwan Thushara,Sri Lanka,Bowler,6.0,2.0,3.0,12.0,1.5,25.0,0.0,0.0,0.0,0.0,2.0,536.0,536.0,694.0,1.294776119402985,7.77,25.0,2.0,0.0,0.0,{'run out': 1}
244,Norman Vanua,Papua New Guinea,All-rounder,37.0,2.0,588.0,477.0,294.0,123.27,1.0,0.0,28.0,36.0,71.0,905.0,905.0,1111.0,1.2276243093922652,7.37,43.0,18.0,0.0,1.0,"{'bowled': 10, 'caught': 18, 'lbw': 2}"
245,Neil Rock,Ireland,Batter,16.0,2.0,160.0,156.0,80.0,102.56,0.0,0.0,13.0,3.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,"{'bowled': 5, 'caught': 9, 'stumped': 1}"
246,Nosthush Kenjige,United States of America,Bowler,8.0,2.0,10.0,21.0,5.0,47.62,0.0,0.0,0.0,0.0,6.0,431.0,431.0,548.0,1.271461716937355,7.63,22.0,5.0,0.0,0.0,"{'bowled': 2, 'caught': 2, 'lbw': 1}"
247,Nicholas Kirton,Canada,All-rounder,33.0,2.0,727.0,609.0,363.5,119.38,1.0,0.0,47.0,28.0,69.0,54.0,54.0,97.0,1.7962962962962963,10.78,7.0,11.0,0.0,2.0,"{'bowled': 1, 'caught': 24, 'lbw': 1, 'run out': 2}"
248,Navneet Dhaliwal,Canada,All-rounder,40.0,3.0,1157.0,887.0,385.6666666666667,130.44,1.0,0.0,93.0,53.0,70.0,61.0,61.0,61.0,1.0,6.0,6.0,15.0,0.0,1.0,"{'bowled': 6, 'caught': 27, 'run out': 1, 'stumped': 1}"
249,Nathan Ellis,Australia,Bowler,9.0,2.0,32.0,56.0,16.0,57.14,0.0,0.0,1.0,1.0,12.0,714.0,714.0,901.0,1.2619047619047619,7.57,32.0,12.0,0.0,2.0,"{'bowled': 3, 'caught': 1, 'run out': 1}"
250,Naseem Khushi,Oman,Batter,34.0,4.0,612.0,384.0,153.0,159.38,1.0,0.0,39.0,47.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,1.0,"{'bowled': 6, 'caught': 18, 'caught and bowled': 1, 'lbw': 3, 'run out': 4}"
251,Naseem Shah,Pakistan,Bowler,10.0,2.0,44.0,45.0,22.0,97.78,0.0,0.0,6.0,1.0,16.0,649.0,649.0,859.0,1.3235747303543914,7.94,28.0,2.0,0.0,0.0,"{'bowled': 2, 'caught': 4, 'lbw': 1}"
252,Nasum Ahmed,Bangladesh,Bowler,18.0,2.0,97.0,99.0,48.5,97.98,0.0,0.0,9.0,3.0,20.0,734.0,734.0,910.0,1.2397820163487738,7.44,37.0,6.0,0.0,0.0,"{'bowled': 3, 'caught': 6, 'hit wicket': 1}"
253,Najmul Hossain Shanto,Bangladesh,All-rounder,44.0,2.0,959.0,913.0,479.5,105.04,1.0,0.0,88.0,19.0,71.0,19.0,19.0,26.0,1.368421052631579,8.21,3.0,30.0,0.0,1.0,"{'bowled': 10, 'caught': 21, 'caught and bowled': 4, 'lbw': 1, 'run out': 1, 'stumped': 2}"
254,Nitish Kumar Reddy,India,Bowler,3.0,2.0,90.0,52.0,45.0,173.08,1.0,0.0,4.0,8.0,74.0,55.0,55.0,76.0,1.3818181818181818,8.29,3.0,2.0,0.0,0.0,{'caught': 2}
255,Nitish Kumar,United States of America,Bowler,3.0,2.0,90.0,52.0,45.0,173.08,1.0,0.0,4.0,8.0,74.0,55.0,55.0,76.0,1.3818181818181818,8.29,3.0,2.0,0.0,0.0,{'caught': 2}
256,Nurul Hasan,Bangladesh,Batter,45.0,2.0,489.0,432.0,244.5,113.19,0.0,0.0,27.0,19.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.0,3.0,"{'bowled': 2, 'caught': 24, 'lbw': 2, 'run out': 2}"
257,Obed McCoy,West Indies,Bowler,14.0,2.0,68.0,68.0,34.0,100.0,0.0,0.0,7.0,4.0,23.0,861.0,861.0,1225.0,1.4227642276422765,8.54,41.0,3.0,0.0,0.0,"{'bowled': 4, 'caught': 3}"
258,Omair Yousuf,Pakistan,Batter,6.0,2.0,67.0,66.0,33.5,101.52,0.0,0.0,6.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,"{'bowled': 1, 'caught': 3}"
259,Pathum Nissanka,Sri Lanka,Batter,66.0,3.0,2069.0,1708.0,689.6666666666666,121.14,0.0,1.0,205.0,56.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,"{'bowled': 10, 'caught': 43, 'caught and bowled': 1, 'lbw': 4, 'run out': 4, 'stumped': 3}"
260,Paul van Meekeren,Netherlands,Bowler,22.0,2.0,136.0,125.0,68.0,108.8,0.0,0.0,9.0,6.0,24.0,1537.0,1537.0,1816.0,1.1815224463240077,7.09,71.0,18.0,0.0,0.0,"{'bowled': 2, 'caught': 7, 'lbw': 4, 'run out': 5}"
261,Bhanuka Rajapaksa,Sri Lanka,Batter,36.0,2.0,646.0,506.0,323.0,127.67,1.0,0.0,51.0,29.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,"{'bowled': 5, 'caught': 19, 'caught and bowled': 2, 'lbw': 3}"
262,Phil Salt,England,Batter,46.0,2.0,1540.0,949.0,770.0,162.28,0.0,1.0,154.0,75.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,0.0,"{'bowled': 10, 'caught': 26, 'caught and bowled': 1, 'run out': 1, 'stumped': 2}"
263,Kamindu Mendis,Sri Lanka,Bowler,27.0,3.0,438.0,379.0,146.0,115.57,1.0,0.0,37.0,18.0,51.0,146.0,146.0,200.0,1.36986301369863,8.22,12.0,16.0,0.0,0.0,"{'bowled': 1, 'caught': 20, 'lbw': 3, 'run out': 1, 'stumped': 1}"
264,Paul Stirling,Ireland,All-rounder,120.0,2.0,2975.0,2276.0,1487.5,130.71,0.0,1.0,346.0,106.0,115.0,490.0,490.0,577.0,1.1775510204081632,7.07,35.0,31.0,0.0,1.0,"{'bowled': 25, 'caught': 68, 'caught and bowled': 4, 'lbw': 7, 'retired hurt': 1, 'run out': 4, 'stumped': 2}"
265,Dushmantha Chameera,Sri Lanka,Bowler,29.0,2.0,102.0,119.0,51.0,85.71,0.0,0.0,9.0,1.0,24.0,1423.0,1423.0,1841.0,1.2937456078706957,7.76,62.0,7.0,0.0,1.0,"{'bowled': 4, 'caught': 9, 'lbw': 3, 'run out': 1}"
266,Wanindu Hasaranga,Sri Lanka,All-rounder,65.0,2.0,629.0,514.0,314.5,122.37,1.0,0.0,62.0,12.0,71.0,1729.0,1729.0,2072.0,1.1983805668016194,7.19,76.0,26.0,0.0,0.0,"{'bowled': 8, 'caught': 33, 'lbw': 1, 'run out': 6, 'stumped': 3}"
267,Pargat Singh,Canada,Bowler,21.0,2.0,430.0,379.0,215.0,113.46,1.0,0.0,39.0,14.0,89.0,55.0,55.0,92.0,1.6727272727272726,10.04,6.0,2.0,0.0,0.0,"{'bowled': 2, 'caught': 8, 'lbw': 6, 'run out': 1, 'stumped': 3}"
268,Parvez Hossain Emon,Bangladesh,Batter,24.0,2.0,460.0,360.0,230.0,127.78,0.0,1.0,39.0,30.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,"{'bowled': 5, 'caught': 16, 'lbw': 2}"
269,Pratis GC,Nepal,Bowler,5.0,2.0,7.0,11.0,3.5,63.64,0.0,0.0,0.0,0.0,6.0,211.0,211.0,289.0,1.3696682464454977,8.22,10.0,2.0,0.0,0.0,{'caught': 2}
270,Quinton de Kock,South Africa,Batter,91.0,2.0,2565.0,1920.0,1282.5,133.59,0.0,1.0,263.0,101.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,18.0,2.0,"{'bowled': 13, 'caught': 53, 'caught and bowled': 4, 'lbw': 5, 'run out': 6, 'stumped': 3}"
271,Qasim Akram,Pakistan,Bowler,2.0,1.0,32.0,31.0,32.0,103.23,0.0,0.0,5.0,0.0,20.0,11.0,11.0,6.0,0.5454545454545454,3.27,1.0,1.0,0.0,0.0,{'caught': 2}
272,Richard Ngarava,Zimbabwe,Bowler,25.0,2.0,82.0,72.0,41.0,113.89,0.0,0.0,9.0,3.0,12.0,1674.0,1674.0,1940.0,1.1589008363201911,6.95,75.0,13.0,0.0,1.0,"{'bowled': 10, 'caught': 3, 'run out': 2, 'stumped': 1}"
273,Riyan Parag,India,Bowler,6.0,2.0,106.0,72.0,53.0,147.22,0.0,0.0,3.0,9.0,34.0,75.0,75.0,83.0,1.1066666666666667,6.64,5.0,7.0,0.0,0.0,"{'caught': 5, 'lbw': 1}"
274,Rayyan Pathan,Canada,Bowler,12.0,2.0,387.0,251.0,193.5,154.18,0.0,1.0,41.0,17.0,107.0,12.0,12.0,24.0,2.0,12.0,1.0,0.0,0.0,0.0,"{'bowled': 2, 'caught': 5, 'run out': 3}"
275,Rovman Powell,West Indies,All-rounder,91.0,2.0,2029.0,1504.0,1014.5,134.91,0.0,1.0,121.0,135.0,107.0,119.0,119.0,201.0,1.6890756302521008,10.13,13.0,51.0,0.0,0.0,"{'bowled': 11, 'caught': 57, 'caught and bowled': 2, 'lbw': 6, 'stumped': 2}"
276,Rachin Ravindra,New Zealand,All-rounder,33.0,2.0,528.0,403.0,264.0,131.02,1.0,0.0,42.0,20.0,69.0,281.0,281.0,313.0,1.113879003558719,6.68,18.0,14.0,0.0,0.0,"{'bowled': 5, 'caught': 19, 'caught and bowled': 1, 'lbw': 1}"
277,Romario Shepherd,West Indies,All-rounder,47.0,2.0,772.0,573.0,386.0,134.73,0.0,0.0,44.0,55.0,49.0,1332.0,1332.0,2089.0,1.5683183183183182,9.41,65.0,13.0,0.0,1.0,"{'bowled': 4, 'caught': 19, 'lbw': 4, 'run out': 3}"
278,Ruben Trumpelmann,Namibia,Bowler,23.0,2.0,254.0,196.0,127.0,129.59,0.0,0.0,17.0,15.0,46.0,769.0,769.0,990.0,1.2873862158647593,7.72,38.0,10.0,0.0,0.0,"{'bowled': 2, 'caught': 10, 'lbw': 1}"
279,Rubin Hermann,South Africa,Batter,6.0,2.0,153.0,119.0,76.5,128.57,1.0,0.0,13.0,6.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,"{'bowled': 2, 'caught': 3, 'run out': 1}"
280,Ronak Patel,Uganda,Batter,36.0,2.0,781.0,786.0,390.5,99.36,1.0,0.0,92.0,8.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,"{'bowled': 6, 'caught': 14, 'caught and bowled': 2, 'lbw': 3, 'retired hurt': 1, 'run out': 2, 'stumped': 1}"
281,Richie Berrington,Scotland,All-rounder,75.0,2.0,1871.0,1466.0,935.5,127.63,1.0,0.0,141.0,71.0,82.0,425.0,425.0,534.0,1.2564705882352942,7.54,30.0,17.0,0.0,1.0,"{'bowled': 13, 'caught': 42, 'lbw': 3, 'run out': 1}"
282,Ruturaj Gaikwad,India,Batter,19.0,2.0,633.0,462.0,316.5,137.01,0.0,1.0,65.0,24.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,"{'caught': 13, 'caught and bowled': 1, 'lbw': 1, 'run out': 1}"
283,Ryan Rickelton,South Africa,Batter,18.0,2.0,381.0,293.0,190.5,130.03,1.0,0.0,30.0,20.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,"{'bowled': 1, 'caught': 16, 'stumped': 1}"
284,Roelof van der Merwe,Netherlands,All-rounder,40.0,3.0,518.0,408.0,172.66666666666666,126.96,1.0,0.0,40.0,15.0,75.0,1228.0,1228.0,1318.0,1.0732899022801303,6.44,62.0,21.0,0.0,1.0,"{'bowled': 6, 'caught': 17, 'lbw': 2}"
