player_name,opponent_team,matches_bat,runs,balls_bat,fours,sixes,dismissals,strike_rate,avg_bat,matches_bowl,balls_bowl,runs_conceded,wickets,economy,avg_bowl
Fayyaz Butt,Nepal,1.0,16.0,5.0,2.0,1.0,5.0,320.0,3.2,3.0,17.0,34.0,17.0,12.0,2.0
GH Dockrell,Bangladesh,2.0,1.0,2.0,0.0,0.0,2.0,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
GH Dockrell,Canada,1.0,6.0,6.0,0.0,0.0,6.0,100.0,1.0,1.0,7.0,4.0,7.0,3.43,0.57
GH Dockrell,India,7.0,35.0,21.0,2.0,3.0,21.0,166.67,1.67,1.0,9.0,14.0,9.0,9.33,1.56
GH Dockrell,Nepal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,4.0,10.5,1.75
GH Dockrell,Oman,2.0,17.0,10.0,1.0,1.0,10.0,170.0,1.7,2.0,9.0,9.0,9.0,6.0,1.0
GH Dockrell,Pakistan,4.0,40.0,24.0,5.0,2.0,24.0,166.67,1.67,1.0,6.0,5.0,6.0,5.0,0.83
GH Dockrell,Zimbabwe,3.0,1.0,4.0,0.0,0.0,4.0,25.0,0.25,1.0,2.0,4.0,2.0,12.0,2.0
Hamza Tahir,Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,5.0,1.2,0.2
Hamza Tahir,Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,30.0,23.0,7.83,1.3
Haris Rauf,Bangladesh,1.0,3.0,3.0,0.0,0.0,3.0,100.0,1.0,10.0,139.0,187.0,139.0,8.07,1.35
Haris Rauf,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,10.0,14.0,4.29,0.71
Haris Rauf,India,1.0,13.0,7.0,2.0,0.0,7.0,185.71,1.86,4.0,40.0,59.0,40.0,8.85,1.48
Haris Rauf,Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
Haris Rauf,New Zealand,1.0,1.0,1.0,0.0,0.0,1.0,100.0,1.0,3.0,8.0,3.0,8.0,2.25,0.38
Haris Rauf,United States of America,1.0,1.0,1.0,0.0,0.0,1.0,100.0,1.0,1.0,9.0,15.0,9.0,10.0,1.67
Haris Rauf,Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,14.0,14.0,6.0,1.0
Harmeet Singh,Bangladesh,2.0,27.0,13.0,1.0,3.0,13.0,207.69,2.08,2.0,17.0,20.0,17.0,7.06,1.18
Harmeet Singh,Canada,1.0,5.0,5.0,0.0,0.0,5.0,100.0,1.0,6.0,34.0,33.0,34.0,5.82,0.97
Harmeet Singh,India,1.0,1.0,4.0,0.0,0.0,4.0,25.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Harmeet Singh,Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,15.0,6.0,15.0,2.5
